"","Hugo_Symbol","High","Low","pval","or","ci.up","ci.low","adjPval"
"1","PRPF8",11,1,0.00258292568761902,12.0809024054148,525.99270583848,1.71093308158062,0.545683681239135
"2","HIVEP3",1,11,0.00535556888277562,0.0866934989708649,0.612107044258417,0.00199089199956773,0.545683681239135
"3","CSMD1",2,12,0.0108771813665549,0.158725121556327,0.734376639201957,0.0169186516461288,0.545683681239135
"4","COL4A2",6,0,0.0137949999022984,Inf,Inf,1.22919998451824,0.545683681239135
"5","DNMT1",8,1,0.0184492525156056,8.58192631159906,385.215986606017,1.12410367020744,0.545683681239135
"6","ARHGEF10",5,0,0.0284455036745068,Inf,Inf,0.950794281126075,0.545683681239135
"7","ATP1A4",5,0,0.0284455036745068,Inf,Inf,0.950794281126075,0.545683681239135
"8","C16orf62",5,0,0.0284455036745068,Inf,Inf,0.950794281126075,0.545683681239135
"9","DDIAS",5,0,0.0284455036745068,Inf,Inf,0.950794281126075,0.545683681239135
"10","FARSA",5,0,0.0284455036745068,Inf,Inf,0.950794281126075,0.545683681239135
"11","KCNH8",5,0,0.0284455036745068,Inf,Inf,0.950794281126075,0.545683681239135
"12","KIAA1549",5,0,0.0284455036745068,Inf,Inf,0.950794281126075,0.545683681239135
"13","KMT2E",5,0,0.0284455036745068,Inf,Inf,0.950794281126075,0.545683681239135
"14","MAP6",5,0,0.0284455036745068,Inf,Inf,0.950794281126075,0.545683681239135
"15","MYCBPAP",5,0,0.0284455036745068,Inf,Inf,0.950794281126075,0.545683681239135
"16","NEUROD6",5,0,0.0284455036745068,Inf,Inf,0.950794281126075,0.545683681239135
"17","PSG3",5,0,0.0284455036745068,Inf,Inf,0.950794281126075,0.545683681239135
"18","PTPRH",5,0,0.0284455036745068,Inf,Inf,0.950794281126075,0.545683681239135
"19","SCN9A",5,0,0.0284455036745068,Inf,Inf,0.950794281126075,0.545683681239135
"20","SECISBP2",5,0,0.0284455036745068,Inf,Inf,0.950794281126075,0.545683681239135
"21","TMPRSS2",5,0,0.0284455036745068,Inf,Inf,0.950794281126075,0.545683681239135
"22","TSHZ1",5,0,0.0284455036745068,Inf,Inf,0.950794281126075,0.545683681239135
"23","CNOT1",0,6,0.0295896710272395,0,0.851079366233895,0,0.545683681239135
"24","LRP4",0,6,0.0295896710272395,0,0.851079366233895,0,0.545683681239135
"25","PALM2-AKAP2",0,6,0.0295896710272395,0,0.851079366233895,0,0.545683681239135
"26","TMEM132B",0,6,0.0295896710272395,0,0.851079366233895,0,0.545683681239135
"27","MYH4",3,12,0.0304897882679795,0.239647552449471,0.916875944610554,0.0424106788457484,0.545683681239135
"28","PPP1R3A",9,2,0.0332434586676005,4.83492699297646,46.8406534750477,0.974190052431455,0.545683681239135
"29","EFCAB6",7,1,0.0347128032298907,7.45194062812525,339.728189708127,0.936410066896986,0.545683681239135
"30","ADGRV1",10,3,0.0495314512924159,3.5866153431213,20.7425240340823,0.896127431373575,0.545683681239135
